link_id,category,domain,asset_label,owner,agent,related_area,privacy,status,public_note,next_action
LNK-022,Miro,miro.com,Miro programa 12,Persona 3,Agente #2,Plataforma,Interno,Inventariado,Board compartido para programa o actividad,Conectar a skill practica o evidencia asociada
LNK-023,Google Sheet,docs.google.com,Registro operativo,Persona 2,Agente #7,Datos,Critico,Requiere revision,Registro en Sheet como fuente de control,Importar a staging y deduplicar
LNK-024,Notion,notion.so,Recopilatorio webinars y talleres virtuales,Persona 8,Agente #10,Difusion,Interno,Inventariado,Repositorio de webinars talleres y registros,Estandarizar campos evento fecha leads grabacion CTA
LNK-025,Miro,miro.com,Mapeo convenios y embajadores,Persona 7,Agente #9,Embajadores,Interno,Inventariado,Mapa de flujo de convenios embajadores y gestion,Convertir flujo en checklist SLA y tablero de convenios
LNK-026,Google Sheet,docs.google.com,Sheet importado desde Excel,Persona 2,Agente #7,Datos,Critico,Requiere revision,Archivo spreadsheet con parametros de importacion,Clasificar estructura antes de conectarlo
LNK-027,Notion,notion.so,Reporte certificaciones AECODE,Persona 1,Agente #8,Certificados,Critico,Listo para conectar,Reporte de certificaciones estados y pendientes,Convertir en certificate_queue con estado y SLA
LNK-028,Google Sheet,docs.google.com,Sheet operativo sin clasificar 3,Persona 2,Agente #7,Datos,Critico,Requiere revision,Hoja compartida como enlace operativo,Registrar descripcion owner y entidad principal
LNK-029,Google Sheet,docs.google.com,Sheet operativo sin clasificar 4,Persona 2,Agente #7,Datos,Critico,Requiere revision,Spreadsheet sin contexto operativo suficiente,Validar fecha campos y duplicidad con fuente maestra
LNK-030,Miro,miro.com,Miro programa 13,Persona 3,Agente #2,Plataforma,Interno,Inventariado,Board enviado como link editado en chat,Confirmar link vigente y archivar version anterior
LNK-031,Miro,miro.com,Miro programa 14,Persona 3,Agente #2,Plataforma,Interno,Inventariado,Board identificado como link operativo,Asignar course_id y estado de acceso
LNK-032,Zoom,zoom.us,Zoom de sesion,Persona 3,Agente #3,Sesiones,Critico,Requiere revision,Link de reunion con clave incluida,Rotar clave si corresponde y mover a gestor seguro
LNK-033,Notion,notion.so,AECODE Training,Persona 2,Agente #7,Datos,Critico,Requiere revision,Base Notion de seguimiento con frecuencia estado y semanas,Validar si es fuente maestra espejo o vista secundaria
LNK-034,Google Sheet,docs.google.com,Enlaces grupos WhatsApp,Persona 6,Agente #6,Comunidad,Critico,Listo para conectar,Pestana con subgrupos por programa participantes coordinacion e instructores,Convertir en tabla community_groups con link_status y privacy_level
